seq,expert_bytes,tensor_base,expert_idx,tensor
530,4030464,0x0,4,blk.24.ffn_up_exps.weight
532,4030464,0x0,100,blk.24.ffn_up_exps.weight
533,4030464,0x0,109,blk.24.ffn_up_exps.weight
534,4030464,0x0,130,blk.24.ffn_up_exps.weight
535,4030464,0x0,136,blk.24.ffn_up_exps.weight
538,4030464,0x0,4,blk.24.ffn_gate_exps.weight
540,4030464,0x0,100,blk.24.ffn_gate_exps.weight
541,4030464,0x0,109,blk.24.ffn_gate_exps.weight
542,4030464,0x0,130,blk.24.ffn_gate_exps.weight
543,4030464,0x0,136,blk.24.ffn_gate_exps.weight
546,4816896,0x0,4,blk.24.ffn_down_exps.weight
548,4816896,0x0,100,blk.24.ffn_down_exps.weight
549,4816896,0x0,109,blk.24.ffn_down_exps.weight
550,4816896,0x0,130,blk.24.ffn_down_exps.weight
551,4816896,0x0,136,blk.24.ffn_down_exps.weight
553,4030464,0x0,43,blk.25.ffn_up_exps.weight
554,4030464,0x0,58,blk.25.ffn_up_exps.weight
555,4030464,0x0,71,blk.25.ffn_up_exps.weight
556,4030464,0x0,131,blk.25.ffn_up_exps.weight
557,4030464,0x0,175,blk.25.ffn_up_exps.weight
558,4030464,0x0,200,blk.25.ffn_up_exps.weight
559,4030464,0x0,220,blk.25.ffn_up_exps.weight
560,4030464,0x0,248,blk.25.ffn_up_exps.weight
561,4030464,0x0,43,blk.25.ffn_gate_exps.weight
562,4030464,0x0,58,blk.25.ffn_gate_exps.weight
563,4030464,0x0,71,blk.25.ffn_gate_exps.weight
564,4030464,0x0,131,blk.25.ffn_gate_exps.weight
565,4030464,0x0,175,blk.25.ffn_gate_exps.weight
566,4030464,0x0,200,blk.25.ffn_gate_exps.weight
567,4030464,0x0,220,blk.25.ffn_gate_exps.weight
568,4030464,0x0,248,blk.25.ffn_gate_exps.weight
569,4816896,0x0,43,blk.25.ffn_down_exps.weight
570,4816896,0x0,58,blk.25.ffn_down_exps.weight
571,4816896,0x0,71,blk.25.ffn_down_exps.weight
572,4816896,0x0,131,blk.25.ffn_down_exps.weight
573,4816896,0x0,175,blk.25.ffn_down_exps.weight
574,4816896,0x0,200,blk.25.ffn_down_exps.weight
575,4816896,0x0,220,blk.25.ffn_down_exps.weight
576,4816896,0x0,248,blk.25.ffn_down_exps.weight
577,4030464,0x0,0,blk.26.ffn_up_exps.weight
578,4030464,0x0,16,blk.26.ffn_up_exps.weight
579,4030464,0x0,23,blk.26.ffn_up_exps.weight
580,4030464,0x0,28,blk.26.ffn_up_exps.weight
581,4030464,0x0,46,blk.26.ffn_up_exps.weight
582,4030464,0x0,99,blk.26.ffn_up_exps.weight
583,4030464,0x0,217,blk.26.ffn_up_exps.weight
584,4030464,0x0,223,blk.26.ffn_up_exps.weight
585,4030464,0x0,0,blk.26.ffn_gate_exps.weight
586,4030464,0x0,16,blk.26.ffn_gate_exps.weight
587,4030464,0x0,23,blk.26.ffn_gate_exps.weight
588,4030464,0x0,28,blk.26.ffn_gate_exps.weight
589,4030464,0x0,46,blk.26.ffn_gate_exps.weight
590,4030464,0x0,99,blk.26.ffn_gate_exps.weight
591,4030464,0x0,217,blk.26.ffn_gate_exps.weight
592,4030464,0x0,223,blk.26.ffn_gate_exps.weight
593,4816896,0x0,0,blk.26.ffn_down_exps.weight
594,4816896,0x0,16,blk.26.ffn_down_exps.weight
595,4816896,0x0,23,blk.26.ffn_down_exps.weight
596,4816896,0x0,28,blk.26.ffn_down_exps.weight
597,4816896,0x0,46,blk.26.ffn_down_exps.weight
598,4816896,0x0,99,blk.26.ffn_down_exps.weight
599,4816896,0x0,217,blk.26.ffn_down_exps.weight
600,4816896,0x0,223,blk.26.ffn_down_exps.weight
601,4030464,0x0,16,blk.27.ffn_up_exps.weight
602,4030464,0x0,87,blk.27.ffn_up_exps.weight
