tensor,expert,model_offset,nbytes,shape,n_expert,residual_ms,touches
blk.3.ffn_up_exps.weight,103,14650102528,4456448,4096x2048x256,256,2.065000,3
blk.12.ffn_down_exps.weight,185,44986073856,4456448,2048x4096x256,256,2.063000,2
blk.2.ffn_down_exps.weight,25,8445958400,4456448,2048x4096x256,256,2.062000,1
blk.2.ffn_down_exps.weight,60,8601934080,4456448,2048x4096x256,256,2.062000,1
blk.5.ffn_up_exps.weight,76,21694574848,4456448,4096x2048x256,256,2.062000,2
blk.2.ffn_up_exps.weight,20,10705377536,4456448,4096x2048x256,256,2.061000,3
blk.33.ffn_up_exps.weight,211,122603345152,4456448,4096x2048x256,256,2.059000,10
blk.17.ffn_down_exps.weight,137,62673495296,4456448,2048x4096x256,256,2.056000,7
blk.19.ffn_down_exps.weight,204,70136873728,4456448,2048x4096x256,256,2.056000,2
blk.2.ffn_up_exps.weight,42,10803419392,4456448,4096x2048x256,256,2.056000,2
blk.21.ffn_up_exps.weight,92,79084249344,4456448,4096x2048x256,256,2.056000,7
blk.24.ffn_down_exps.weight,191,88001591040,4456448,2048x4096x256,256,2.056000,13
blk.25.ffn_up_exps.weight,136,93609925888,4456448,4096x2048x256,256,2.053000,12
blk.2.ffn_down_exps.weight,145,8980732160,4456448,2048x4096x256,256,2.051000,3
blk.36.ffn_down_exps.weight,141,130767547136,4456448,2048x4096x256,256,2.051000,3
blk.5.ffn_up_exps.weight,180,22158045440,4456448,4096x2048x256,256,2.051000,7
blk.2.ffn_up_exps.weight,109,11102001408,4456448,4096x2048x256,256,2.050000,2
blk.8.ffn_up_exps.weight,73,32439060224,4456448,4096x2048x256,256,2.049000,8
blk.8.ffn_down_exps.weight,212,30776805120,4456448,2048x4096x256,256,2.048000,10
blk.32.ffn_up_exps.weight,103,118550310656,4456448,4096x2048x256,256,2.041000,3
blk.21.ffn_down_exps.weight,228,77408624896,4456448,2048x4096x256,256,2.039000,1
blk.26.ffn_up_exps.weight,188,97434719488,4456448,4096x2048x256,256,2.039000,5
blk.0.ffn_up_exps.weight,79,3805960960,4456448,4096x2048x256,256,2.038000,6
blk.1.ffn_down_exps.weight,162,5460331776,4456448,2048x4096x256,256,2.038000,3
blk.34.ffn_down_exps.weight,155,123665140992,4456448,2048x4096x256,256,2.038000,12
blk.31.ffn_up_exps.weight,63,114778994432,4456448,4096x2048x256,256,2.036000,9
blk.20.ffn_up_exps.weight,50,75325340416,4456448,4096x2048x256,256,2.035000,13
blk.9.ffn_up_exps.weight,26,35801345280,4456448,4096x2048x256,256,2.034000,5
blk.8.ffn_up_exps.weight,207,33036224256,4456448,4096x2048x256,256,2.033000,11
blk.1.ffn_down_exps.weight,227,5750000896,4456448,2048x4096x256,256,2.032000,1
blk.9.ffn_up_exps.weight,155,36376227072,4456448,4096x2048x256,256,2.032000,3
blk.0.ffn_up_exps.weight,235,4501166848,4456448,4096x2048x256,256,2.029000,2
blk.36.ffn_down_exps.weight,83,130509073152,4456448,2048x4096x256,256,2.029000,5
blk.11.ffn_down_exps.weight,75,40902806272,4456448,2048x4096x256,256,2.027000,1
blk.16.ffn_up_exps.weight,144,61414653696,4456448,4096x2048x256,256,2.026000,4
blk.17.ffn_up_exps.weight,69,64652158208,4456448,4096x2048x256,256,2.026000,7
blk.21.ffn_down_exps.weight,111,76887220480,4456448,2048x4096x256,256,2.025000,7
blk.36.ffn_down_exps.weight,99,130580376320,4456448,2048x4096x256,256,2.024000,4
blk.17.ffn_up_exps.weight,137,64955196672,4456448,4096x2048x256,256,2.022000,7
blk.19.ffn_up_exps.weight,19,71594132224,4456448,4096x2048x256,256,2.022000,7
blk.25.ffn_up_exps.weight,212,93948615936,4456448,4096x2048x256,256,2.019000,4
blk.33.ffn_down_exps.weight,211,120321643776,4456448,2048x4096x256,256,2.019000,10
blk.20.ffn_up_exps.weight,134,75699682048,4456448,4096x2048x256,256,2.018000,5
blk.27.ffn_up_exps.weight,60,100436032256,4456448,4096x2048x256,256,2.018000,16
blk.7.ffn_up_exps.weight,47,28730134272,4456448,4096x2048x256,256,2.015000,8
blk.36.ffn_up_exps.weight,99,132862077696,4456448,4096x2048x256,256,2.014000,4
blk.3.ffn_down_exps.weight,16,11980690176,4456448,2048x4096x256,256,2.011000,1
blk.25.ffn_down_exps.weight,212,91666914560,4456448,2048x4096x256,256,2.008000,4
blk.6.ffn_up_exps.weight,230,25973926144,4456448,4096x2048x256,256,2.008000,7
blk.22.ffn_up_exps.weight,193,83127408896,4456448,4096x2048x256,256,2.007000,5
blk.18.ffn_down_exps.weight,145,66302205184,4456448,2048x4096x256,256,2.002000,12
blk.39.ffn_down_exps.weight,192,141731360512,4456448,2048x4096x256,256,2.002000,8
blk.1.ffn_down_exps.weight,23,4840885504,4456448,2048x4096x256,256,2.000000,2
blk.8.ffn_down_exps.weight,20,29921167104,4456448,2048x4096x256,256,2.000000,1
blk.10.ffn_up_exps.weight,137,39889069312,4456448,4096x2048x256,256,1.995000,6
blk.33.ffn_down_exps.weight,174,120156755200,4456448,2048x4096x256,256,1.995000,4
blk.1.ffn_down_exps.weight,199,5625220352,4456448,2048x4096x256,256,1.994000,2
blk.0.ffn_down_exps.weight,79,1524259584,4456448,2048x4096x256,256,1.990000,6
blk.5.ffn_up_exps.weight,47,21565337856,4456448,4096x2048x256,256,1.990000,4
