tensor	expert	fallback_ms	calls	expert_bytes
blk.1.ffn_up_exps.weight	42	7.883	2	4456448
blk.2.ffn_up_exps.weight	236	7.872	2	4456448
blk.2.ffn_down_exps.weight	46	7.859	2	4456448
blk.2.ffn_down_exps.weight	94	7.859	2	4456448
blk.15.ffn_down_exps.weight	176	7.839	21	4456448
blk.0.ffn_down_exps.weight	70	7.833	2	4456448
blk.1.ffn_down_exps.weight	158	7.785	3	4456448
blk.10.ffn_down_exps.weight	76	7.777	22	4456448
blk.14.ffn_down_exps.weight	181	7.775	37	4456448
blk.4.ffn_down_exps.weight	254	7.769	5	4456448
blk.3.ffn_up_exps.weight	14	7.764	13	4456448
blk.5.ffn_down_exps.weight	11	7.757	8	4456448
blk.3.ffn_down_exps.weight	116	7.739	13	4456448
blk.9.ffn_down_exps.weight	193	7.732	15	4456448
blk.7.ffn_down_exps.weight	159	7.681	28	4456448
blk.36.ffn_down_exps.weight	165	7.666	14	4456448
blk.2.ffn_down_exps.weight	37	7.665	12	4456448
blk.16.ffn_up_exps.weight	124	7.663	2	4456448
blk.1.ffn_up_exps.weight	252	7.660	4	4456448
