seq,layer,row,rank,expert_idx,weight,sort_score,logit,bias,topk_tensor,weights_tensor
259,4,15,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
260,4,15,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
261,4,15,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
262,4,15,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
263,4,15,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
264,4,15,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
265,4,16,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
266,4,16,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
267,4,16,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
268,4,16,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
269,4,16,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
270,4,16,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
271,4,16,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
272,4,16,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
273,5,0,0,247,0.601535201,22.363575,0.41186583,21.7620392,ffn_moe_topk-5,ffn_moe_weights-5
274,5,0,1,238,0.771732628,22.2539253,1.21812046,21.482193,ffn_moe_topk-5,ffn_moe_weights-5
275,5,0,2,207,0.698727429,22.1709251,0.841245413,21.4721985,ffn_moe_topk-5,ffn_moe_weights-5
276,5,0,3,211,0.320653111,22.0896893,-0.75077188,21.7690353,ffn_moe_topk-5,ffn_moe_weights-5
277,5,0,4,147,0.379204601,22.0782776,-0.492925733,21.6990738,ffn_moe_topk-5,ffn_moe_weights-5
278,5,0,5,237,0.29651463,22.0755444,-0.863950431,21.7790298,ffn_moe_topk-5,ffn_moe_weights-5
