scope,key,threshold,rows,skip_block_ratio,skip_value_ratio,mean_l2_abs,mean_l2_rel,max_l2_rel,max_abs_err,mean_abs_err,mean_exact_l2
layer_expert,11:162:blk.11.ffn_down_exps.weight,0.1,5,0.90625,0.90625,0.7262486522,0.8699484073999999,1.0,0.042315715,0.0068328007619999995,0.8461387192000001
layer_expert,11:164:blk.11.ffn_down_exps.weight,0.1,6,0.921875,0.921875,0.8977980106666666,0.9334056658333333,1.0,0.0527673736,0.008455867439999999,0.9872680056666666
layer_expert,11:167:blk.11.ffn_down_exps.weight,0.1,6,0.8333333333333334,0.8333333333333334,0.886281413,0.8464980296666668,1.0,0.0479578529,0.00836719635,1.0888979463333335
layer_expert,11:169:blk.11.ffn_down_exps.weight,0.1,1,1.0,1.0,0.262564809,1.0,1.0,0.0115384366,0.00247336182,0.262564809
layer_expert,11:16:blk.11.ffn_down_exps.weight,0.1,13,0.6538461538461539,0.6538461538461539,0.8543821504615384,0.5921342786923076,1.0,0.0483984719,0.008061938006153846,1.8205735807692311
layer_expert,11:170:blk.11.ffn_down_exps.weight,0.1,2,1.0,1.0,0.7015715945000001,1.0,1.0,0.0398880728,0.006622846315,0.7015715945000001
layer_expert,11:172:blk.11.ffn_down_exps.weight,0.1,2,0.9375,0.9375,0.9080314570000001,0.934196995,1.0,0.0496789711,0.008591366285,0.993168767
layer_expert,11:173:blk.11.ffn_down_exps.weight,0.1,19,0.9259868421052632,0.9259868421052632,0.722583193631579,0.9031944102105264,1.0,0.0592240763,0.006810754903684211,0.8248993348947368
layer_expert,11:174:blk.11.ffn_down_exps.weight,0.1,1,0.96875,0.96875,0.801364113,0.958693235,0.958693235,0.0351099462,0.00758223254,0.835892113
layer_expert,11:175:blk.11.ffn_down_exps.weight,0.1,14,0.90625,0.90625,0.8177756380714286,0.866989092,1.0,0.0589574333,0.007713910974285714,0.982840232
