call,seq_id,pos,n_tokens,n_seq_tokens,source_layer,target_layer,kind,topk,ne0,ne1,record_us,values
4,0,21,1,1,5,6,pred,4,4,1,963,159|34|87|5
4,0,21,1,1,5,5,actual,8,8,1,963,15|97|117|55|259|355|152|368
4,0,21,1,1,6,7,pred,4,4,1,963,161|140|335|35
4,0,21,1,1,6,6,actual,8,8,1,963,159|34|87|207|286|225|163|61
4,0,21,1,1,7,8,pred,4,4,1,963,355|78|218|101
4,0,21,1,1,7,7,actual,8,8,1,963,161|140|335|35|153|14|145|178
4,0,21,1,1,8,9,pred,4,4,1,963,157|359|142|381
4,0,21,1,1,8,8,actual,8,8,1,963,355|101|78|218|183|311|382|226
4,0,21,1,1,9,10,pred,4,4,1,963,293|368|15|35
4,0,21,1,1,9,9,actual,8,8,1,963,157|359|142|259|51|55|255|264
4,0,21,1,1,10,11,pred,4,4,1,963,25|335|207|175
4,0,21,1,1,10,10,actual,8,8,1,963,15|368|293|35|28|127|174|335
4,0,21,1,1,11,12,pred,4,4,1,963,320|103|380|332
4,0,21,1,1,11,11,actual,8,8,1,963,25|335|207|175|173|198|214|254
4,0,21,1,1,12,13,pred,4,4,1,963,269|32|212|303
4,0,21,1,1,12,12,actual,8,8,1,963,103|380|320|332|300|192|72|373
4,0,21,1,1,13,14,pred,4,4,1,963,41|292|110|132
4,0,21,1,1,13,13,actual,8,8,1,963,269|212|32|303|203|270|239|117
4,0,21,1,1,14,15,pred,4,4,1,963,222|15|125|374
4,0,21,1,1,14,14,actual,8,8,1,963,292|41|286|132|162|66|137|110
4,0,21,1,1,15,16,pred,4,4,1,963,302|57|214|196
4,0,21,1,1,15,15,actual,8,8,1,963,222|15|374|125|82|93|155|105
4,0,21,1,1,16,17,pred,4,4,1,963,120|309|304|28
4,0,21,1,1,16,16,actual,8,8,1,963,302|57|214|196|280|309|369|293
4,0,21,1,1,17,18,pred,4,4,1,963,143|211|17|10
4,0,21,1,1,17,17,actual,8,8,1,963,120|309|304|28|114|121|97|41
